"DENTS";"DENTS_F";"TPOP";"OPOP";"OCTY";"PGRW";"NGRW";"PINC";"ELD";"LNHDD";"LANDV";"BIRTHS"
0;"0";0,53500003;0,04555;0,039999999;0,024;0;5,4889998;0,1731659;8,4534006;0,097000003;16
1;"1";1,018;0,1249;0,075999998;0;-0,23;3,9649999;0,10611038;8,8957663;0,155;79
2;"2";2,2579999;0,5266;0,17900001;0;-0,368;4,6690001;0,14528123;8,9727173;0,23199999;101
1;"1";1,351;0,23639999;0,142;0;-0,005;4,6339998;0,18818963;9,0560226;0,29699999;92
0;"0";0,41800001;0,1445;0,206;0;-0,145;3,5209999;0,082563512;9,0560226;0,131;127
3;"3";2,4170001;0,36840001;0,192;0,16500001;0;4,8249998;0,19869667;9,0560226;0,30399999;139
0;"0";0,66000003;0,1453;0,079999998;0,035;0;3,9430001;0,085911296;9,0560226;0,163;190
1;"1";0,98100001;0,1516;0,07;0,026000001;0;4,3239999;0,17853923;9,0560226;0,233;54
2;"2";1,0880001;0,042410001;0,035;0,105;0;4,9239998;0,12848961;8,8957663;0,155;75
0;"0";0,45300001;0,036910001;0,02;0,059999999;0;5,132;0,13117647;8,8957663;0,13600001;40
1;"1";1,2029999;0,1398;0,071999997;0;-0,097000003;4,7940001;0,2004097;8,9727173;0,241;50
1;"1";0,72299999;0,078539997;0,01;0;-0,142;5,171;0,15174299;8,8957663;0,17900001;29
1;"1";1,36;0,17910001;0,075999998;0;-0,18700001;4,277;0,20163894;9,0560226;0,213;49
0;"0";0,56099999;0,1013;0,079999998;0;-0,056000002;3,5810001;0,11560693;8,8957663;0,141;58
1;"1";1,623;0,161;0,039999999;0;-0,292;4,7589998;0,17637452;9,0560226;0,303;65
2;"2";3,027;0,27489999;0,23;0,083999999;0;5,1409998;0,16280839;9,0560226;0,336;145
1;"1";0,85100001;0,080899999;0,101;0,066;0;4,7309999;0,13266331;9,0560226;0,29800001;60
0;"0";0,74800003;0,3299;0,15899999;0,009;0;3,1589999;0,052265283;8,8957663;0,15800001;271
3;"3";11,061;0,92047;0,45899999;2,4360001;0;7,0029998;0,075358406;7,8853292;0,141;265
0;"0";2,674;0,205;0,162;0;-0,064000003;5,6240001;0,1065285;8,1650791;0,301;85
1;"1";2,2160001;0,049479999;0,046999998;0,164;0;7,263;0,22633186;8,1650791;0,228;44
2;"2";3,766;0,023559999;0,168;0,90200001;0;6,7670002;0,092664927;7,7463007;0,13500001;96
1;"1";2,7720001;0,011;0,123;0;-0,117;4,29;0,071493216;7,8875842;0,152;96
4;"4";6,8540001;0,088749997;0,38100001;1,149;0;5,2420001;0,1250957;8,350194;0,31299999;132
5;"5 and more";11,79;1,59162;0,52899998;0,23100001;0;5,9829998;0,13056105;8,1650791;0,55599999;355
